scenario,retention_scenario,p_label,active_vessels,raw_loss_items_per_vessel_year,retention_factor,effective_aldfg_items_per_year,expected_value_per_gear_mean_thb,total_tier1_loss_mean_thb
High,High_retention,Lower_50pct,57000,13487.470997679815,0.2,153757169.3735499,3.319059405940594,510329179.24008185
High,High_retention,Observed,57000,13487.470997679815,0.2,153757169.3735499,6.638118811881188,1020658358.4801637
High,High_retention,Upper_150pct,57000,13487.470997679815,0.2,153757169.3735499,9.957178217821781,1530987537.7202454
High,Low_retention,Lower_50pct,57000,13487.470997679815,0.05,38439292.34338748,3.319059405940594,127582294.81002046
High,Low_retention,Observed,57000,13487.470997679815,0.05,38439292.34338748,6.638118811881188,255164589.62004092
High,Low_retention,Upper_150pct,57000,13487.470997679815,0.05,38439292.34338748,9.957178217821781,382746884.43006134
High,Medium_retention,Lower_50pct,57000,13487.470997679815,0.1,76878584.68677495,3.319059405940594,255164589.62004092
High,Medium_retention,Observed,57000,13487.470997679815,0.1,76878584.68677495,6.638118811881188,510329179.24008185
High,Medium_retention,Upper_150pct,57000,13487.470997679815,0.1,76878584.68677495,9.957178217821781,765493768.8601227
Low,High_retention,Lower_50pct,10000,420.6496519721578,0.2,841299.3039443156,3.319059405940594,2792322.3679676554
Low,High_retention,Observed,10000,420.6496519721578,0.2,841299.3039443156,6.638118811881188,5584644.735935311
Low,High_retention,Upper_150pct,10000,420.6496519721578,0.2,841299.3039443156,9.957178217821781,8376967.103902966
Low,Low_retention,Lower_50pct,10000,420.6496519721578,0.05,210324.8259860789,3.319059405940594,698080.5919919139
Low,Low_retention,Observed,10000,420.6496519721578,0.05,210324.8259860789,6.638118811881188,1396161.1839838277
Low,Low_retention,Upper_150pct,10000,420.6496519721578,0.05,210324.8259860789,9.957178217821781,2094241.7759757414
Low,Medium_retention,Lower_50pct,10000,420.6496519721578,0.1,420649.6519721578,3.319059405940594,1396161.1839838277
Low,Medium_retention,Observed,10000,420.6496519721578,0.1,420649.6519721578,6.638118811881188,2792322.3679676554
Low,Medium_retention,Upper_150pct,10000,420.6496519721578,0.1,420649.6519721578,9.957178217821781,4188483.551951483
Medium,High_retention,Lower_50pct,40000,6954.060324825987,0.2,55632482.5986079,3.319059405940594,184647514.64473596
Medium,High_retention,Observed,40000,6954.060324825987,0.2,55632482.5986079,6.638118811881188,369295029.2894719
Medium,High_retention,Upper_150pct,40000,6954.060324825987,0.2,55632482.5986079,9.957178217821781,553942543.9342078
Medium,Low_retention,Lower_50pct,40000,6954.060324825987,0.05,13908120.649651974,3.319059405940594,46161878.66118399
Medium,Low_retention,Observed,40000,6954.060324825987,0.05,13908120.649651974,6.638118811881188,92323757.32236798
Medium,Low_retention,Upper_150pct,40000,6954.060324825987,0.05,13908120.649651974,9.957178217821781,138485635.98355195
Medium,Medium_retention,Lower_50pct,40000,6954.060324825987,0.1,27816241.29930395,3.319059405940594,92323757.32236798
Medium,Medium_retention,Observed,40000,6954.060324825987,0.1,27816241.29930395,6.638118811881188,184647514.64473596
Medium,Medium_retention,Upper_150pct,40000,6954.060324825987,0.1,27816241.29930395,9.957178217821781,276971271.9671039
