taxon_raw,sci_name,common_name,n
Fish (Unid),NA,Unknown fish,9
Damselfish,Pomacentridae spp.,Damselfish,2
Scorpionfish,Scorpaenidae spp.,Scorpionfish,2
8 Banded Butterflyfish,Chaetodon octofasciatus,8 Banded Butterflyfish,1
Bream Fish,Nemipteridae spp.,Bream,1
Cardinalfish,Apogonidae spp.,Cardinalfish,1
Dusky Rabbitfish,Siganus luridus,Dusky rabbitfish,1
Filefish,Monacanthidae spp.,Filefish,1
Fusilier fish,Caesionidae spp.,Fusilier,1
Moray Eel (Gymnothorax sp.),Gymnothorax sp.,Moray eel,1
Porcupinefish,Diodontidae spp.,Porcupinefish,1
Pufferfish,Tetraodontidae spp.,Pufferfish,1
Squirrelfish,Holocentridae spp.,Squirrelfish,1
