Species_raw,taxon_raw,name,price_thb
Java Rabbitfish,Rabbitfish,thb_2,100
Java Rabbitfish,Rabbitfish,thb_3,100
Java Rabbitfish,Rabbitfish,thb_4,100
Java Rabbitfish,Rabbitfish,thb_5,100
Java Rabbitfish,Rabbitfish,thb_6,100
Blacktip Grouper,Grouper,thb_1,150
Blacktip Grouper,Grouper,thb_2,120
Blacktip Grouper,Grouper,thb_3,120
Blacktip Grouper,Grouper,thb_4,120
Coral Grouper,Grouper,thb_1,280
Coral Grouper,Grouper,thb_2,250
Coral Grouper,Grouper,thb_3,250
Coral Grouper,Grouper,thb_4,250
Coral Grouper,Grouper,thb_5,300
Coral Grouper,Grouper,thb_6,300
Coral Grouper,Grouper,thb_7,250
Coral Grouper,Grouper,thb_8,300
Giant Grouper,Grouper,thb_1,250
Giant Grouper,Grouper,thb_2,200
Giant Grouper,Grouper,thb_3,200
Giant Grouper,Grouper,thb_4,200
Batfish,Batfish,thb_1,150
Yellow stripe Trevally,Yellow-Stripe Trevally,thb_1,100
Yellow stripe Trevally,Yellow-Stripe Trevally,thb_2,100
Yellow stripe Trevally,Yellow-Stripe Trevally,thb_3,100
Yellow stripe Trevally,Yellow-Stripe Trevally,thb_4,100
Russel snapper,Russel's snapper (Lutjanus rusellii),thb_1,150
Russel snapper,Russel's snapper (Lutjanus rusellii),thb_2,150
Russel snapper,Russel's snapper (Lutjanus rusellii),thb_3,150
Russel snapper,Russel's snapper (Lutjanus rusellii),thb_4,150
Russel snapper,Russel's snapper (Lutjanus rusellii),thb_5,150
Russel snapper,Russel's snapper (Lutjanus rusellii),thb_6,150
Russel snapper,Russel's snapper (Lutjanus rusellii),thb_7,150
Russel snapper,Russel's snapper (Lutjanus rusellii),thb_8,150
Orange spotted trevally,Trevally,thb_1,200
Orange spotted trevally,Trevally,thb_2,150
Orange spotted trevally,Trevally,thb_3,180
Orange spotted trevally,Trevally,thb_4,180
Orange spotted trevally,Trevally,thb_5,200
Orange spotted trevally,Trevally,thb_6,200
Orange spotted trevally,Trevally,thb_7,200
Orange spotted trevally,Trevally,thb_8,200
Yellowtail barracuda ,Barracuda,thb_1,120
Chevron barracuda,Barracuda,thb_1,120
Chevron barracuda,Barracuda,thb_2,100
Chevron barracuda,Barracuda,thb_3,100
Chevron barracuda,Barracuda,thb_4,100
Chevron barracuda,Barracuda,thb_5,100
Chevron barracuda,Barracuda,thb_6,100
Chevron barracuda,Barracuda,thb_7,100
Chevron barracuda,Barracuda,thb_8,100
Pickhandle barracuda,Barracuda,thb_1,150
Pickhandle barracuda,Barracuda,thb_2,150
Pickhandle barracuda,Barracuda,thb_3,150
Pickhandle barracuda,Barracuda,thb_4,150
Pickhandle barracuda,Barracuda,thb_5,150
Pickhandle barracuda,Barracuda,thb_6,150
Pickhandle barracuda,Barracuda,thb_7,150
Pickhandle barracuda,Barracuda,thb_8,150
Great barracuda ,Barracuda,thb_1,150
Great barracuda ,Barracuda,thb_2,120
Great barracuda ,Barracuda,thb_3,120
Great barracuda ,Barracuda,thb_4,120
Great barracuda ,Barracuda,thb_5,120
Great barracuda ,Barracuda,thb_6,120
Great barracuda ,Barracuda,thb_7,120
Great barracuda ,Barracuda,thb_8,120
