sci_name,family,coefficient_type,coefficient_value,coefficient_units,study_region,citation_key,assumption_level,notes
"Russel's snapper
(Lutjanus rusellii)",Lutjanus,NA,NA,NA,NA,NA,NA,NA
"Moray Eel
 (Gymnothorax sp.)",Maurenae,NA,NA,NA,NA,NA,NA,NA
NA,UNKN,NA,NA,NA,NA,NA,NA,NA
Grouper,Epinephelus,NA,NA,NA,NA,NA,NA,NA
Pufferfish,Tetrodontidae,NA,NA,NA,NA,NA,NA,NA
Bream Fish,NA,NA,NA,NA,NA,NA,NA,NA
Cardinalfish,Apogonidae.sp,NA,NA,NA,NA,NA,NA,NA
Filefish,NA,NA,NA,NA,NA,NA,NA,NA
Dusky Rabbitfish,Signanidae,NA,NA,NA,NA,NA,NA,NA
Rabbitfish,Signanidae,NA,NA,NA,NA,NA,NA,NA
Damselfish,Pomecentridae,NA,NA,NA,NA,NA,NA,NA
Porcupinefish,Diodontidae,NA,NA,NA,NA,NA,NA,NA
Fusilier fish,Caesonidae,NA,NA,NA,NA,NA,NA,NA
Batfish,Platax,NA,NA,NA,NA,NA,NA,NA
Squirrelfish,Holocentridae,NA,NA,NA,NA,NA,NA,NA
Trevally,Carangidae,NA,NA,NA,NA,NA,NA,NA
Yellow-Stripe Trevally,Carangidae,NA,NA,NA,NA,NA,NA,NA
Scorpionfish,NA,NA,NA,NA,NA,NA,NA,NA
Barracuda,Sphyrenadae,NA,NA,NA,NA,NA,NA,NA
8 Banded Butterflyfish,Chaetodontidae,NA,NA,NA,NA,NA,NA,NA
