sci_name,family,taxon_raw,mean_mass_kg,mass_source,region,notes
"Russel's snapper
(Lutjanus rusellii)",Lutjanus,"Russel's snapper
(Lutjanus rusellii)",NA,NA,NA,NA
"Moray Eel
 (Gymnothorax sp.)",Maurenae,"Moray Eel
 (Gymnothorax sp.)",NA,NA,NA,NA
NA,UNKN,Fish (Unid),NA,NA,NA,NA
Grouper,Epinephelus,Grouper,NA,NA,NA,NA
Pufferfish,Tetrodontidae,Pufferfish,NA,NA,NA,NA
Bream Fish,NA,Bream Fish,NA,NA,NA,NA
Cardinalfish,Apogonidae.sp,Cardinalfish,NA,NA,NA,NA
Filefish,NA,Filefish,NA,NA,NA,NA
Dusky Rabbitfish,Signanidae,Dusky Rabbitfish,NA,NA,NA,NA
Rabbitfish,Signanidae,Rabbitfish,NA,NA,NA,NA
Damselfish,Pomecentridae,Damselfish,NA,NA,NA,NA
Porcupinefish,Diodontidae,Porcupinefish,NA,NA,NA,NA
Fusilier fish,Caesonidae,Fusilier fish,NA,NA,NA,NA
Batfish,Platax,Batfish,NA,NA,NA,NA
Squirrelfish,Holocentridae,Squirrelfish,NA,NA,NA,NA
Trevally,Carangidae,Trevally,NA,NA,NA,NA
Yellow-Stripe Trevally,Carangidae,Yellow-Stripe Trevally,NA,NA,NA,NA
Scorpionfish,NA,Scorpionfish,NA,NA,NA,NA
Barracuda,Sphyrenadae,Barracuda,NA,NA,NA,NA
8 Banded Butterflyfish,Chaetodontidae,8 Banded Butterflyfish,NA,NA,NA,NA
