taxon_raw,sci_name,common_name,family,genus,taxon_level,taxon_confidence,notes
Cardinalfish,NA,NA,Apogonidae.sp,NA,NA,NA,NA
Fusilier fish,NA,NA,Caesonidae,NA,NA,NA,NA
Trevally,NA,NA,Carangidae,NA,NA,NA,NA
Yellow-Stripe Trevally,NA,NA,Carangidae,NA,NA,NA,NA
8 Banded Butterflyfish,NA,NA,Chaetodontidae,NA,NA,NA,NA
Porcupinefish,NA,NA,Diodontidae,NA,NA,NA,NA
Grouper,NA,NA,Epinephelus,NA,NA,NA,NA
Squirrelfish,NA,NA,Holocentridae,NA,NA,NA,NA
"Russel's snapper
(Lutjanus rusellii)",NA,NA,Lutjanus,NA,NA,NA,NA
"Moray Eel
 (Gymnothorax sp.)",NA,NA,Maurenae,NA,NA,NA,NA
Batfish,NA,NA,Platax,NA,NA,NA,NA
Damselfish,NA,NA,Pomecentridae,NA,NA,NA,NA
Dusky Rabbitfish,NA,NA,Signanidae,NA,NA,NA,NA
Rabbitfish,NA,NA,Signanidae,NA,NA,NA,NA
Barracuda,NA,NA,Sphyrenadae,NA,NA,NA,NA
Pufferfish,NA,NA,Tetrodontidae,NA,NA,NA,NA
Fish (Unid),NA,NA,UNKN,NA,NA,NA,NA
Bream Fish,NA,NA,NA,NA,NA,NA,NA
Filefish,NA,NA,NA,NA,NA,NA,NA
Scorpionfish,NA,NA,NA,NA,NA,NA,NA
